企業コード,上場状況,企業名,企業名（カナ）,郵便番号,所在地,代表者名,代表者名（カナ）,電話番号,売上（2022）,利益（2022）,売上（2021）,利益（2021）,売上（2020）,利益（2020）
121717,未上場,陽光銀行,ﾖｳｺｳｷﾞﾝｺｳ,817-1412,長崎県対馬市峰町佐賀１－１４－５,三島　京香,ﾐｼﾏ ｷｮｳｶ,0920-90-6540,"92,728,986","30,228,899","21,373,833","35,223,911","24,530,684","41,825,299"
840039,上場,名門製紙,ﾒｲﾓﾝｾｲｼ,936-0811,富山県滑川市大浦３－１３－１３,寺岡　志能舞,ﾃﾗｵｶ ｼﾉﾌﾞ,076-936-1482,"70,022,319","55,741,511","52,192,137","36,057,995","78,408,340","24,114,691"
474508,未上場,新星電子,ｼﾝｾｲﾃﾞﾝｼ,624-0118,京都府舞鶴市西方寺３８１２１,植木　浩秋,ｳｴｷ ﾋﾛｱｷ,0774-97-7920,"33,975,822","15,238,555","82,724,128","16,286,585","80,426,005","22,007,235"
149317,未上場,雲海通信,ｳﾝｶｲﾂｳｼﾝ,907-0004,沖縄県石垣市登野城３８０２２登野城マンション４０２,高畑　陽子,ﾀｶﾊﾀ ﾖｳｺ,098-718-7534,"37,939,506","12,636,833","67,497,281","7,752,486","79,874,726","30,840,746"
518276,上場,白鳥興産,ﾊｸﾁｮｳｺｳｻﾝ,689-1412,鳥取県八頭郡智頭町芦津３７５４３プラチナ芦津２１５,都築　貴美,ﾂｽﾞｷ ｷﾐ,0859-68-6538,"96,801,892","18,750,698","44,812,594","50,311,285","49,648,353","30,302,166"
630284,未上場,東洋繊維,ﾄｳﾖｳｾﾝｲ,270-1354,千葉県印西市武西４５００４武西メゾン４１０,遠藤　奈穂,ｴﾝﾄﾞｳ ﾅﾎ,04-4978-4105,"87,752,198","55,521,479","48,932,494","17,031,403","67,705,341","24,178,018"
973830,上場,緑葉酒造,ﾘｮｸﾖｳｼｭｿﾞｳ,409-2103,山梨県南巨摩郡南部町万沢３７４２４,秋葉　夏葵咲,ｱｷﾊﾞ ﾅｷﾞｻ,055-178-3604,"1,449,485","1,329,397","19,614,792","342,808","69,091,616","1,141,220"
748708,未上場,黒龍貿易,ｺｸﾘｭｳﾎﾞｳｴｷ,479-0075,愛知県常滑市菅場２－１６－１０,長沢　喜代,ﾅｶﾞｻﾜ ｷﾖ,0564-41-4493,"48,388,429","47,629,964","73,514,785","35,080,170","41,895,790","13,396,288"
465081,未上場,大樹製薬,ﾀﾞｲｼﾞｭｾｲﾔｸ,865-0047,熊本県玉名市川島２－１３－２,岩下　暁子,ｲﾜｼﾀ ｱｷｺ,096-912-2116,"7,963,231","1,216,681","74,513,220","2,435,707","49,774,325","2,137,399"
416279,未上場,金星銀行,ｷﾝｾｲｷﾞﾝｺｳ,840-0516,佐賀県佐賀市富士町梅野１－１８－１４,島崎　公雄,ｼﾏｻﾞｷ ｷﾐｵ,0952-38-7400,"31,742,378","15,946,410","44,133,220","24,248,260","55,154,785","6,666,688"
129629,上場,寿川建設,ｼﾞｭｶﾜｹﾝｾﾂ,515-2303,三重県松阪市嬉野宮古町３８２７４,新保　清太郎,ｼﾝﾎﾟ ｾｲﾀﾛｳ,0598-97-6920,"74,004,995","71,726,142","66,029,683","32,620,730","58,044,534","71,414,131"
507923,上場,春日物流,ｶｽｶﾞﾌﾞﾂﾘｭｳ,927-1442,石川県珠洲市狼煙新町４５００３,北野　千夏,ｷﾀﾉ ﾁﾅﾂ,076-9-2172,"68,585,177","44,338,820","51,760,552","40,427,998","95,604,257","8,037,338"
798988,未上場,百瀬商事,ﾓﾓｾｼｮｳｼﾞ,910-3514,福井県福井市水谷町１－１８－１８,熊倉　政春,ｸﾏｸﾗ ﾏｻﾊﾙ,0770-46-4505,"71,062,153","21,956,089","3,970,754","40,550,847","37,726,137","21,342,801"
620969,上場,神風金属,ｶﾐｶｾﾞｷﾝｿﾞｸ,400-0834,山梨県甲府市落合町１－１７－７落合町ヒル２０９,中澤　慶太,ﾅｶｻﾞﾜ ｹｲﾀ,055-387-6090,"59,672,828","14,111,210","85,415,961","47,725,257","75,219,427","49,025,534"
993603,未上場,華山総合病院,ｶｻﾞﾝｿｳｺﾞｳﾋﾞｮｳｲﾝ,904-2235,沖縄県うるま市前原３７９９８,森脇　綾華,ﾓﾘﾜｷ ｱﾔｶ,098-528-6296,"72,754,044","72,123,971","44,098,939","17,902,157","1,161,543","58,142,540"
840688,上場,蒼海エンジニアリング,ｿｳｶｲｴﾝｼﾞﾆｱﾘﾝｸﾞ,019-1934,秋田県大仙市南外田尻３７４５７,栗田　帆南海,ｸﾘﾀ ﾎﾅﾐ,018-801-6666,"15,344,795","6,554,169","9,976,533","10,965,660","74,040,437","15,298,875"
111715,上場,鳳凰情報システムズ,ﾎｳｵｳｼﾞｮｳﾎｳｼｽﾃﾑｽﾞ,036-1506,青森県弘前市昴３８００６テラス昴３０８,三好　千鶴,ﾐﾖｼ ﾁﾂﾞﾙ,0174-74-0719,"92,718,915","89,006,812","19,596,141","27,182,086","73,339,360","75,938,711"
576041,上場,松風電機,ﾏﾂｶｾﾞﾃﾞﾝｷ,731-5125,広島県広島市佐伯区五日市駅前１－１９－１３ロイヤルパレス五日市駅前３１８,柏木　莉菜,ｶｼﾜｷﾞ ﾘﾅ,0824-29-4914,"24,056,652","22,913,998","22,363,697","6,687,300","52,722,630","19,159,384"
298785,上場,月影鉄工所,ﾂｷｶｹﾞﾃｯｺｳｼﾞｮ,854-0513,長崎県雲仙市小浜町南本町３７１９８,奥野　則明,ｵｸﾉ ﾉﾘｱｷ,095-105-7917,"3,606,162","3,098,579","13,653,370","548,509","30,340,986","801,741"
762081,上場,春日化学,ｶｽｶﾞｶｶﾞｸ,600-8154,京都府京都市下京区榎木町３７３３２,寺岡　和秀,ﾃﾗｵｶ ｶｽﾞﾋﾃﾞ,077-632-8814,"13,378,580","4,347,666","56,084,010","12,179,687","71,888,562","10,263,424"
689724,未上場,冬木鋼鉄,ﾌﾕｷｺｳﾃﾂ,333-0808,埼玉県川口市長蔵新田４４９９４長蔵新田レジデンス４０２,平田　一憲,ﾋﾗﾀ ｶｽﾞﾉﾘ,049-320-3991,"99,431,741","56,261,554","18,302,137","73,332,629","86,372,984","69,104,409"
853577,未上場,宇宙通信,ｳﾁｭｳﾂｳｼﾝ,068-0424,北海道夕張市千代田４４９６７,松崎　音葉,ﾏﾂｻﾞｷ ｵﾄﾊ,0163-26-0993,"70,725,717","20,384,618","16,663,613","9,894,721","89,458,657","50,413,890"
801139,上場,三日月製作所,ﾐｶﾂﾞｷｾｲｻｸｼﾞｮ,861-3524,熊本県上益城郡山都町藤木４４９６１,千葉　昌枝,ﾁﾊﾞ ﾏｻｴ,096-589-3112,"15,216,710","15,096,680","96,711,730","14,415,271","65,660,831","6,005,003"
290502,上場,星海化学,ｾｲｶｲｶｶﾞｸ,859-6314,長崎県佐世保市吉井町田原４４９７４吉井町田原テラス３１９,水野　卓,ﾐｽﾞﾉ ﾀｶｼ,0957-04-5319,"70,485,878","24,904,139","576,740","64,777,037","60,438,138","69,539,217"
479936,上場,蒼空物産,ｿｳｸｳﾌﾞｯｻﾝ,319-0325,茨城県水戸市小林町３７６８４タウン小林町４１８,鳴海　杏衣子,ﾅﾙﾐ ｱｲｺ,0299-5-7424,"17,470,629","1,977,584","79,038,636","12,204,538","42,265,017","15,707,446"
128000,上場,太陽銀行,ﾀｲﾖｳｷﾞﾝｺｳ,231-0814,神奈川県横浜市中区豊浦町１－１９－１６豊浦町ランド３０１,磯部　一太郎,ｲｿﾍﾞ ｲﾁﾀﾛｳ,045-936-3835,"99,606,946","89,459,332","27,538,061","22,543,030","46,608,021","75,719,090"
760105,上場,黒崎電機,ｸﾛｻｷﾃﾞﾝｷ,964-0893,福島県二本松市幸町３－１８－１８,日下部　直行,ｸｻｶﾍﾞ ﾅｵﾕｷ,024-286-0664,"61,566,420","48,989,685","44,767,872","59,511,133","46,055,675","19,018,886"
139376,未上場,鳳来製薬,ﾎｳﾗｲｾｲﾔｸ,891-8328,鹿児島県大島郡伊仙町崎原４－１７－２０,栗本　健介,ｸﾘﾓﾄ ｹﾝｽｹ,099-910-7108,"95,744,869","45,205,396","20,525,785","15,094,474","85,601,658","65,521,630"
746682,未上場,雲海物流,ｳﾝｶｲﾌﾞﾂﾘｭｳ,923-0332,石川県小松市湯上町４４９６９コート湯上町１０２,茂木　奏,ﾓｷﾞ ｶﾅﾃﾞ,076-753-2852,"45,056,816","10,953,694","29,381,587","24,675,209","53,072,881","16,741,166"
614033,上場,神風貿易,ｶﾐｶｾﾞﾎﾞｳｴｷ,709-0805,岡山県赤磐市二井４５０２７キャッスル二井１１６,田端　正之,ﾀﾊﾞﾀ ﾏｻﾕｷ,0869-36-2566,"66,710,797","59,135,678","14,959,372","59,798,598","44,652,866","29,300,364"
997579,上場,新月電子,ｼﾝｹﾞﾂﾃﾞﾝｼ,409-1315,山梨県甲州市勝沼町等々力３８２０２,高瀬　省吾,ﾀｶｾ ｼｮｳｺﾞ,0555-52-7037,"94,993,356","51,777,474","99,991,654","12,094,504","97,544,616","79,853,120"
246860,未上場,華蓮製紙,ｶﾚﾝｾｲｼ,014-0202,秋田県大仙市上鶯野４－２０－１８上鶯野荘３１４,高橋　由衣,ﾀｶﾊｼ ﾕｲ,018-740-6867,"73,461,721","47,969,666","3,717,094","39,011,895","38,896,493","47,914,415"
456140,未上場,桜花化学,ｻｸﾗｶｶｶﾞｸ,410-0308,静岡県沼津市柳沢３－１７－４柳沢タウン１０２,荒井　咲奈,ｱﾗｲ ｻｷﾅ,054-408-2285,"20,627,280","9,854,150","65,955,402","7,281,779","37,984,001","5,353,683"
510475,上場,神楽銀行,ｶｸﾞﾗｷﾞﾝｺｳ,615-0905,京都府京都市右京区梅津石灘町３７７７７梅津石灘町プレイス１０５,矢口　貴士,ﾔｸﾞﾁ ﾀｶｼ,0771-94-1168,"52,835,453","30,417,645","9,101,246","49,709,035","67,819,335","6,601,871"
953438,未上場,冬木織物,ﾌﾕｷｵﾘﾓﾉ,319-3513,茨城県久慈郡大子町大生瀬４４９９９,松原　寿,ﾏﾂﾊﾞﾗ ﾋｻｼ,0297-39-3395,"56,611,533","41,778,938","76,945,749","55,909,837","65,905,066","44,112,307"
596284,上場,白鳥貿易,ﾊｸﾁｮｳﾎﾞｳｴｷ,648-0037,和歌山県橋本市賢堂３８１５３ハウス賢堂３１５,島津　小百合,ｼﾏﾂﾞ ｻﾕﾘ,073-95-1097,"72,532,069","32,593,964","67,712,523","56,221,319","76,943,362","57,004,345"
635871,上場,星海建設,ｾｲｶｲｹﾝｾﾂ,639-0202,奈良県北葛城郡上牧町桜ケ丘１－１６－８,西原　妃菜,ﾆｼﾊﾗ ﾋﾅ,0746-97-2703,"64,909,578","56,816,429","45,769,527","12,420,261","80,457,705","9,619,252"
329299,上場,紅陽製作所,ｺｳﾖｳｾｲｻｸｼﾞｮ,399-9211,長野県北安曇郡白馬村神城４４９６５,田淵　結芽,ﾀﾌﾞﾁ ﾕﾒ,026-313-2608,"36,697,300","30,735,036","66,061,526","11,369,114","91,030,960","27,651,598"
124960,上場,三峰総合病院,ｻﾝﾎﾟｳｿｳｺﾞｳﾋﾞｮｳｲﾝ,709-0623,岡山県岡山市東区城東台南１－１６－９,細野　雅信,ﾎｿﾉ ﾏｻﾉﾌﾞ,086-096-5238,"62,788,668","41,775,127","57,533,817","37,100,299","41,175,988","42,931,896"
500031,未上場,樹海物産,ｼﾞｭｶｲﾌﾞｯｻﾝ,675-1376,兵庫県小野市丸山町４－１７－１５,宮地　七海,ﾐﾔﾁ ﾅﾅﾐ,078-750-0017,"53,388,260","12,354,512","40,519,418","22,066,643","66,303,238","11,539,220"
709182,未上場,銀波通信,ｷﾞﾝﾊﾂｳｼﾝ,986-1332,宮城県石巻市雄勝町小島３７６５９,横山　紗英,ﾖｺﾔﾏ ｻｴ,022-846-4714,"89,082,936","83,024,017","64,475,665","59,049,220","12,360,427","32,897,681"
704913,上場,黒石金属,ｸﾛｲｼｷﾝｿﾞｸ,039-3353,青森県東津軽郡平内町田茂木３７７７８,岡本　典大,ｵｶﾓﾄ ﾉﾘﾋﾛ,0173-39-8977,"88,030,297","54,942,960","67,098,183","45,309,026","43,939,064","51,948,473"
237327,未上場,春日産業,ｶｽｶﾞｻﾝｷﾞｮｳ,930-2101,富山県富山市山田中瀬３７５４４山田中瀬テラス２０４,荒木　海人,ｱﾗｷ ｱﾏﾄ,076-487-0131,"8,718,819","4,294,555","48,633,830","4,193,603","92,487,200","7,658,120"
455225,未上場,太陽酒造,ﾀｲﾖｳｼｭｿﾞｳ,018-2805,秋田県能代市轟１－１６－６,大坪　鉄男,ｵｵﾂﾎﾞ ﾃﾂｵ,018-482-6899,"32,850,360","26,694,386","97,073,571","24,354,754","47,369,164","23,052,827"
596671,未上場,緑葉興産,ﾘｮｸﾖｳｺｳｻﾝ,669-3163,兵庫県丹波市山南町山本３７４０８山南町山本ヴィレッジ４１８,田崎　香,ﾀｻﾞｷ ｶｵﾙ,079-115-2730,"16,477,435","6,070,023","77,102,879","9,092,720","79,381,885","3,116,989"
459375,未上場,白虹エンジニアリング,ﾊｸｺｳｴﾝｼﾞﾆｱﾘﾝｸﾞ,571-0009,大阪府門真市下馬伏町３８１５６下馬伏町プレシャス３０５,森本　幸也,ﾓﾘﾓﾄ ﾕｷﾔ,06-4194-4336,"39,653,871","23,424,309","21,452,344","20,516,754","88,803,328","12,859,498"
142936,未上場,東洋鋼鉄,ﾄｳﾖｳｺｳﾃﾂ,851-0244,長崎県長崎市大崎町４４９９３大崎町スカイ４０２,郡司　綾華,ｸﾞﾝｼﾞ ｱﾔｶ,0950-80-1581,"23,113,981","13,027,233","99,233,466","14,661,304","13,449,795","15,996,134"
530860,未上場,瑞宝銀行,ｽﾞｲﾎｳｷﾞﾝｺｳ,939-0508,富山県富山市水橋西浜町４５０２１水橋西浜町タワー２０８,小坂　祐介,ｵｻｶ ﾕｳｽｹ,076-341-4119,"80,968,470","45,075,387","68,884,666","36,916,813","43,548,904","10,279,541"
310637,上場,千羽鶴製薬,ｾﾝﾊﾞﾂﾙｾｲﾔｸ,400-0203,山梨県南アルプス市徳永４４９２７,高野　雫,ﾀｶﾉ ｼｽﾞｸ,0553-13-3546,"61,063,835","53,458,875","97,003,642","42,330,654","6,570,757","58,743,119"
145951,未上場,金星興業,ｷﾝｾｲｺｳｷﾞｮｳ,959-0416,新潟県新潟市西蒲区浦村４－１８－１浦村の杜４１７,出口　葉子,ﾃﾞｸﾁ ﾖｳｺ,025-815-2179,"6,591,005","1,263,811","1,289,271","4,553,422","16,827,530","766,655"
588298,上場,流星通信,ﾘｭｳｾｲﾂｳｼﾝ,292-0033,千葉県木更津市犬成４５０２５,林田　文隆,ﾊﾔｼﾀﾞ ﾌﾐﾀｶ,04-2722-1840,"11,651,956","3,705,893","11,872,965","4,157,665","50,705,896","7,600,193"
612900,上場,紅葉製紙,ｺｳﾖｳｾｲｼ,988-0207,宮城県気仙沼市岩月宝ケ沢４４９６９,古市　勇雄,ﾌﾙｲﾁ ｲｻｵ,022-944-0244,"53,338,363","5,485,463","82,963,104","21,750,969","90,118,952","40,357,396"
141950,未上場,青山織物,ｱｵﾔﾏｵﾘﾓﾉ,300-2442,茨城県つくばみらい市西ノ台１－１６－１９,栗山　亜希,ｸﾘﾔﾏ ｱｷ,0479-53-4327,"42,412,371","18,850,960","29,544,597","30,368,175","88,004,149","29,020,619"
505588,未上場,金星金属,ｷﾝｾｲｷﾝｿﾞｸ,746-0051,山口県周南市御姫町１－２０－５,大木　良平,ｵｵｷ ﾘｮｳﾍｲ,083-642-3178,"95,025,213","34,923,301","71,370,183","68,428,976","61,012,669","93,966,217"
519097,上場,月光酒造,ｹﾞﾂｺｳｼｭｿﾞｳ,633-2144,奈良県宇陀市大宇陀栗野３－１４－１３大宇陀栗野グランド３１３,堀田　五郎,ﾎｯﾀ ｺﾞﾛｳ,0747-25-7709,"21,056,096","3,365,640","11,813,972","4,990,384","51,224,303","5,483,233"
216402,未上場,大海物産,ﾀｲｶｲﾌﾞｯｻﾝ,933-0803,富山県高岡市出来田３８２０６,平川　紗耶,ﾋﾗｶﾜ ｻﾔ,076-808-1063,"7,392,076","3,611,173","40,541,439","4,372,771","20,899,903","2,629,772"
753537,未上場,日本総合病院,ﾆﾎﾝｿｳｺﾞｳﾋﾞｮｳｲﾝ,518-1417,三重県伊賀市富永４－１５－９,岡本　伍朗,ｵｶﾓﾄ ｺﾞﾛｳ,059-082-9689,"93,849,666","35,045,856","58,501,690","31,393,276","70,405,880","75,208,482"
448736,上場,星野貿易,ﾎｼﾉﾎﾞｳｴｷ,370-0117,群馬県伊勢崎市境百々３７９３４境百々スイート２１５,小椋　泉,ｵｸﾞﾗ ｲｽﾞﾐ,0274-46-8133,"84,217,113","17,780,671","75,774,880","77,010,087","82,671,589","9,851,878"
116297,未上場,白雪産業,ｼﾛﾕｷｻﾝｷﾞｮｳ,039-1542,青森県三戸郡五戸町中道十文字４５００４,福山　千恵子,ﾌｸﾔﾏ ﾁｴｺ,017-840-0459,"40,545,843","5,178,976","56,591,245","5,215,273","17,541,892","37,086,949"
471842,未上場,楓木繊維,ｶｴﾃﾞｷｾﾝｲ,923-0072,石川県小松市みどり町４－１７－１６フォレストみどり町２０６,平野　菜々,ﾋﾗﾉ ﾅﾅ,076-188-1996,"11,809,544","9,228,928","16,123,300","10,391,970","30,297,751","3,206,841"
649811,未上場,清水建設,ｼﾐｽﾞｹﾝｾﾂ,899-3515,鹿児島県南さつま市金峰町中津野３８２６３,尾上　秀幸,ｵｶﾞﾐ ﾋﾃﾞﾕｷ,099-06-5262,"38,218,655","20,051,151","5,169,977","5,717,530","86,954,477","30,526,624"
318374,未上場,神楽エンジニアリング,ｶｸﾞﾗｴﾝｼﾞﾆｱﾘﾝｸﾞ,606-8384,京都府京都市左京区新生洲町３６９０４,安斉　真治,ｱﾝｻﾞｲ ｼﾝｼﾞ,0774-1-4172,"70,458,398","8,505,608","9,327,157","22,398,587","13,456,331","29,639,231"
